computer, computer;számítógép, tietokone
re, are;-ek, -vat
win, conquer;nyerni, voittaa
questions, problems;kérdések, kysymykset
competing, vying;verseny, kilpailla
hunt, pursuit;vadászat, metsästys
would, want;szeretnénk, haluamme
mathematics, math;matematika, matematiikka
actually, really;valójában, tosiasiassa
as, like;mint, kuin
of, of;-nak, -n
catch, seize;fogni, saavuttaa
german, German;német, -lainen
time, period;kor, aika
unusually, exceptionally;különösen, erittäin
most, most;leg-, -in
old, ancient;régi-, vanha-
quarry, target;vadászat, saalis
complexity, intricacy;komplexitás-nak, monimisyys
against, against;-ellen, -ta
many, countless;sok, monia
relatives, kin;rokona, sukulaiset
escaped, fled;szökött, pahoin
scientists, researchers;tudósok, tiedemiehet
search, quest;keresés, haku
to, to;-hoz, -a
still, nevertheless;mégis, silti
be, can;lehet, voi olla
clutches, grasp;fogs-nak, -issa
attitude, stance;álláspont, asenne
turned, proved;kiderült, kävi ilmi
kind, species;fajtája, lajinsa
active, energetic;aktív, aktiivinen
know, aware;tud, tietää
prevailing, dominant;fennálló, vallitseva
that, that;az, se
rodents, gnawers;rágcsálók, rottaeläimet
law, principle;törvény, laki
postmortem, analysis;posztemortem, jälkiselonteko
like, want;szeretnénk, haluamme
west, western;nyugat, länsi
science, field;tudomány, tiede
podcast, Podcast;Podcast, Podcast
just, merely;csak, vain
busy, active;szelíd, vilkas
beast, creature;állat, eläin
about, concerning;-ról, -sta
an, a;egy, yhden
four, four;négy, neljä
surprisingly, surprisingly;meglepően, yllättäen
participants, contenders;résztvevők, osalliset
ago, ago;-ezelőtt, - sitten
these, these;Ezek, nämä
computation, calculation;számítás, laskenta
compelling, captivating;vonzó, kiehtova
looking, appearing;-szerű, -näköinen
elusive, slippery;elkerülhetetlen, villi
dam, barrier;gát, pato
level, level;szint, taso
finally, at last;végre, lopuksi
so, so;olyan, niin
take, consume;vesz, vie
s, that;-s, -n
famous, renowned;híres, kuulu
opens, launches;-ik, -a
what, that;ami, mikä
but, although;de, mutta
have, possess;van, on
ever, ever;valaha, -kaan
over, above;-n, yli
find, discover;talál, löytää
dizzyingly, bewilderingly;megzavartóan, hämmentävästi
their, its;-ik, -idän
for, for;-ért, -lle
up, summarized;fel, ylös
unsolvable, intractable;megoldhatatlan, ratkaisematon
open, unsolved;nyitott, avoin
strangest, oddest;legfurcsább, -imma
asked, posed;feltehető, kysyttävä
they, they;ők, he
dragged, pulled;húztak, vetivät
in, in;-ba, -sis
descended, arrived;-ertek, -si
long, lengthy;hosszú, pitkä
war, conflict;háború, sota
beaver, otter;vizes, vesi-
at, at;-n, -ssa
itself, itself;-maga, -itse
infinitely, infinitely;végtelen, äärettömän
tiers, level;szinten, tasolla
question, query;kérdés, kysymys
the, the;a, -n
difficult, challenging;neheze, vaikea
cannot, cannot;nem-, -voi
five, fifth;öt, viides
city, town;város, kaupunki
tab, tab;-lapon, -välillä
out, proved;kiderült, tuli ilmi
problem, puzzle;probléma, ongelma
captured, caught;fogott, saatu
t, aren't;-nek, - eivät
its, its;-nak, -n
new, fresh;új, uusi
three, three;három, kolme
battle, fight;harc, taistelu
years, years;év, vuotta
answer, response;válasz, vastaus
and, and;és, ja
run, execute;fut, toimittaa
mathematical, mathematical;matematikai, matemaattinen
on, upon;-ra, -lle
simple, plain;egyszerű-, yksinkertainen-
once, once;volt, oli
report, summary;jelentés, raportti
only, merely;csak, vain
slippery, slick;csúszós, liukas
could, able;tud, vois
horde, group;csapat, joukko
were, were;voltak, olivat
can, possible;lehet, voi
been, been;volt, oltiin
dortmund, Dortmund;Dortmund, Dortmund
fifth, fifth;ötödik, viides
a, a;egy, -n
connections, links;kapcsolatok, yhteydet
competitors, contestants;versenyző, kilpailija
quanta, Quantum;Kvant, Kvantti
precisely, exactly;pontosan, tarkasti
had, existed;volt, olleet
short, insufficient;rövid, lyhyt
creatures, beings;lények, olennot
we, we;mi, me
programs, programs;programok, ohjelmat
though, although;bár, vaikka
fell, lacked;esett, jäi
some, some;néhány, joitakin
summed, summarized;összegeztek, yhteenvetivät
course, certainly;persze, toki
makes, creates;teszi, tekee
upon, once;-kor, -aikaan
has, has;van, on
aren, are not;nem, eivät
roots, origins;gyökerek, juuret
